#!,Workbook:,Custom,Custom,,,,,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,,,,,
16-11-2024,12:30:42,3.46,0.21,0.74,0.03,0,1.92,0.23,0.45,0.01,0
16-11-2024,12:32:47,3.45,0.22,0.75,0.03,0,26.13,0.26,6.68,0.01,0
16-11-2024,12:34:52,25.07,0.22,5.46,0.03,0,50.17,0.28,14,0.01,0
16-11-2024,12:36:57,46.73,0.22,10.34,0.03,0,73.72,0.3,22.12,0.01,0
16-11-2024,12:39:02,68.24,0.22,15.3,0.11,0,97.05,0.32,31.29,0.19,0
16-11-2024,12:42:07,89.83,0.23,20.48,0.11,0,120.4,0.35,41.89,0.19,0
16-11-2024,12:45:13,111.37,0.23,25.65,0.11,0,143.77,0.37,53.03,0.19,0
16-11-2024,12:48:18,133.02,0.23,30.86,0.11,0,167.15,0.39,65.54,0.19,0
16-11-2024,12:51:23,154.64,0.23,36.14,0.31,0,190.51,0.42,79.24,0.63,0
16-11-2024,12:54:28,176.41,0.24,41.88,0.31,0,213.95,0.44,93.51,0.63,0
